Column name	Category	Required	Example	Definition	Additional instructions	Transformation	Parameter	Parameter 2
Sample Name	description	Y	TR-POW	Collector's sample name. Mandatory.	Must be unique in a sample set	map	name	
IGSN	description	Y	IEMEG0001	Leave blank if you want SESAR to assign the IGSN.		map	sesar:igsn	
Parent IGSN	description	N	IEMEG0002	Leave blank if a parent IGSN does not exist.		map	sesar:parent_igsn	
Release Date	description	N	2018-03-15	Date when sample metadata is publicly accessible and searchable. If null, defaults to date of registration (recommended).	SESAR recommends that sample metadata become public within 2 years of sample registration.	map	sesar:release_date	
Material	description	Y	Rock; Liquid>Aqueous	Material that the sample consists of. Mandatory.	Please use controlled list	map	sesar:material	
Sub-object type	description	Y	Thin section; Powder	More descriptive Object Type. This applies only to samples with Object Type set to Individual Sample.	Please use controlled list	map	sesar:sub-object_type	
Classification	description	Y	Igneous>Plutonic>Felsic; Plagioclase	Taxonomy (formal classification) Formal categorization of sample.	Please use controlled list (for Rocks), Please use controlled list (for Minerals)	map	sesar:classification	
Field name (informal classification)	description	Y	basalt; amphibole; sea water	Taxonomy (field name) Informal classification of sample.		map	sesar:field_name	
Other name(s)	description	N	TRPOW; T-PROW	Other name(s) used for the sample.	Provide multiple other names in a semi-colon delimited fashion.	map	other_names	
Sample Description	description	N	dredge with 50 pieces of basalt and mud	Free text to describe features of a sample such as its components, texture, color, shape, etc.		map	description	
Age (min)	description	N	4.2	Numerical value for the minimum age of a sample	Must be a number	unit_measurement	sesar:age_min	Age unit (e.g. million years (Ma))
Age (max)	description	N	4.6	Numerical value for the maximum age of a sample	Must be a number	unit_measurement	sesar:age_max	Age unit (e.g. million years (Ma))
Age unit (e.g. million years (Ma))	description	N	Ma	Unit for the age provided				
Geological age	description	N	Cretaceous	Age of a sample as described by the stratigraphic era, period, state, etc.		unit_measurement	sesar:geological_age	Geological unit
Geological unit	description	N	Coconino Sandstone; Fig Tree Formation	A body of rock established as a distinct entity in the classification of the Earth's rocks, e.g. Supergroup, Group, Formation, or Flow				
Collection method	description	Y	Dredging; Manual	Method by which a sample was collected	Suggested list	map	sesar:collection_method	
Collection method description	description	N	Hand sample collected from the top part of a large boulder	Additional information about the collection method		map	sesar:collection_method_description	
Size	description	N	2x4; 45	Size of the registered object, such as the dimension of a specimen, the length of a core, or the weight of a dredge		unit_measurement	sesar:size	Size unit
Size unit	description	N	cm; kg	Unit for the numerical value provided for 'size'.				
Latitude (Coordinate system: WGS 84)	geolocation	Y	5.89634	Latitude of the location where the sample was collected. ('Start latitude' for linear sampling features such as dredges.) Needs to be entered in decimal degrees. Negative values for South latitudes.	Please supply no more than 6 decimal places (meter scale resolution) in the actual number (not just display format.) No letters are allowed.	map	latitude	
Latitude (end) (Coordinate system: WGS 84)	geolocation	Y	5.89222	End latitude of the location where the sample was collected.	Please supply no more than 6 decimal places (meter scale resolution) in the actual number (not just display format.) No letters are allowed.	map	latitude_end	
Longitude (Coordinate system: WGS 84)	geolocation	Y	-103.785	Longitude of the location where the sample was collected. ('Start longitude' for linear sampling features such as dredges.) Needs to be entered in decimal degrees. Negative values for 'West' longitudes.	Please supply no more than 6 decimal places (meter scale resolution) in the actual number (not just display format.) No letters are allowed.	map	longitude	
Longitude (end) (Coordinate system: WGS 84)	geolocation	Y	-103.285	End longitude of the location where the sample was collected.	Please supply no more than 6 decimal places (meter scale resolution) in the actual number (not just display format.) No letters are allowed.	map	longitude_end	
Northing (m) (Coordinate system: UTM NAD83)	geolocation	N	4111279	Geographic Cartesian coordinate of where the sample was collected, in meters, as in UTM. "4111279"	To be geolocated in the SESAR system, latitude and longitude must be filled out. UTM coordinates can be specified for reference but will not place the sample on the map. There are several web tools for converting from UTM to latitude/longitude, such as http://www.earthpoint.us/Convert.aspx.	map	sesar:northing	
Easting (m) (Coordinate system: UTM NAD83)	geolocation	N	305294	Geographic Cartesian coordinate of where the sample was collected, in meters, as in UTM. "305294"	To be geolocated in the SESAR system, latitude and longitude must be filled out. UTM coordinates can be specified for reference but will not place the sample on the map. There are several web tools for converting from UTM to latitude/longitude, such as http://www.earthpoint.us/Convert.aspx.	map	sesar:easting	
Zone (e.g., 11R)	geolocation	N	11R	Zone for the geographic Cartesian coordinate "11R"	UTM zone, use a number from 1 to 60, followed by a letter between A and Z to specify UTM zone with no spaces in between. Letter must be capitalized.	map	sesar:zone	
Vertical Datum	geolocation	N	NAVD88; MSL	Vertical datum used to calculate the elevation		map	sesar:vertical_datum	
Elevation start	geolocation	N	678.5; -4536	Elevation at which a sample was collected. Use negative values for depth below sea level. Minimum elevation if a range is provided for the elevation/depth below sea level.		unit_measurement	sesar:elevation_start	Elevation unit
Elevation end	geolocation	N	673.5; -4520	Elevation at which a sample was collected. Use negative values for depth below sea level. Maximum elevation if a range is provided for the elevation/depth below sea level.		unit_measurement	sesar:elevation_end	Elevation unit
Elevation unit	geolocation	N	meters; feet, miles, kilometers	Unit in which elevation start and/or end are provided in.	Must be one of the following: meters, feet, miles, kilometers			
Navigation Type	geolocation	N	GPS	Navigation type	Please use controlled list	map	sesar:navigation_type	
Primary Physiographic feature	geolocation	Y	volcano; mid-ocean ridge	Type of physical feature that your sample was collected from	Suggested list	map	sesar:physiographic_feature_primary	
Name of physiographic feature	geolocation	Y	East Pacific Rise; Dead Sea	Name of the physiographic feature that you entered		map	sesar:physiographic_feature_name	
Location description	geolocation	N	flank of volcanic cone	Free text description of the location		map	location_description	
Locality	geolocation	Y	Franklin Mine; Craters of the Moon National Park	Name of the specific place where your sample was collected. This could be the name of a mine, a volcanic field, a vent field, or similar		map	locality	
Locality description	geolocation	N	on private land	Additional information about the specific place where your sample was collected		map	locality_description	
Country	geolocation	Y	United States	Country where the sample was collected	Please use controlled list	map	country	
State/Province	geolocation	Y	Alaska	State or Province where the sample was collected		map	state_province	
County	geolocation	Y	Bristol County	County where the sample was collected		map	county	
City/Township	geolocation	Y	Palisades	City or Township where the sample was collected		map	city_township	
Field program/Cruise	collection	Y	TN182	Name or identifier of the field program (cruise or expedition), during which the sample was collected	For ship cruises, we recommended using the R2R Cruise ID at http://www.rvdata.us/catalog	map	sesar:field_program_cruise	
Platform type	collection	N	Ship	Type of platform for the cruise.	Suggested list	map	sesar:platform_type	
Platform name	collection	Y	R/V Roger Revelle	Name of platform for the cruise.		map	sesar:platform_name	
